model,data_regime,epoch,layer,grad_norm
efficientnet_b0,100%,2,blocks.4.0.conv_dw.weight,0.1828804761171341
efficientnet_b0,100%,2,blocks.4.0.bn2.weight,0.03914487361907959
efficientnet_b0,100%,2,blocks.4.0.bn2.bias,0.019115792587399483
efficientnet_b0,100%,2,blocks.4.0.se.conv_reduce.weight,0.059216998517513275
efficientnet_b0,100%,2,blocks.4.0.se.conv_reduce.bias,0.0045164781622588634
efficientnet_b0,100%,2,blocks.4.0.se.conv_expand.weight,0.06733673065900803
efficientnet_b0,100%,2,blocks.4.0.se.conv_expand.bias,0.008293934166431427
efficientnet_b0,100%,2,blocks.4.0.conv_pwl.weight,0.2535112202167511
efficientnet_b0,100%,2,blocks.4.0.bn3.weight,0.008769362233579159
efficientnet_b0,100%,2,blocks.4.0.bn3.bias,8.841542467052932e-07
efficientnet_b0,100%,2,blocks.4.1.conv_pw.weight,0.1726038008928299
efficientnet_b0,100%,2,blocks.4.1.bn1.weight,0.013278323225677013
efficientnet_b0,100%,2,blocks.4.1.bn1.bias,0.014178107492625713
efficientnet_b0,100%,2,blocks.4.1.conv_dw.weight,0.0953618511557579
efficientnet_b0,100%,2,blocks.4.1.bn2.weight,0.013233134523034096
efficientnet_b0,100%,2,blocks.4.1.bn2.bias,0.007692806888371706
efficientnet_b0,100%,2,blocks.4.1.se.conv_reduce.weight,0.035380274057388306
efficientnet_b0,100%,2,blocks.4.1.se.conv_reduce.bias,0.002953284652903676
efficientnet_b0,100%,2,blocks.4.1.se.conv_expand.weight,0.059424545615911484
efficientnet_b0,100%,2,blocks.4.1.se.conv_expand.bias,0.005772430449724197
efficientnet_b0,100%,2,blocks.4.1.conv_pwl.weight,0.14739030599594116
efficientnet_b0,100%,2,blocks.4.1.bn3.weight,0.006032535340636969
efficientnet_b0,100%,2,blocks.4.1.bn3.bias,7.506088195441407e-07
efficientnet_b0,100%,2,blocks.4.2.conv_pw.weight,0.18005232512950897
efficientnet_b0,100%,2,blocks.4.2.bn1.weight,0.009737160988152027
efficientnet_b0,100%,2,blocks.4.2.bn1.bias,0.011200757697224617
efficientnet_b0,100%,2,blocks.4.2.conv_dw.weight,0.08745839446783066
efficientnet_b0,100%,2,blocks.4.2.bn2.weight,0.01295776478946209
efficientnet_b0,100%,2,blocks.4.2.bn2.bias,0.007186793256551027
